日付,部門,商品名,販売数量,単価,売上金額,顧客区分,地域
2025-01-01,コンシューマー事業部,スマートウォッチ Pro,22,39800,875600,個人,大阪
2025-01-01,コンシューマー事業部,ワイヤレスイヤホン Elite,49,24800,1215200,個人,札幌
2025-01-01,コンシューマー事業部,ポータブルスピーカー SX,16,18500,296000,個人,大阪
2025-01-01,コンシューマー事業部,モバイルバッテリー Plus,57,6980,397860,個人,仙台
2025-01-01,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,教育機関,大阪
2025-01-01,法人ソリューション事業部,サーバー保守契約,2,180000,360000,官公庁,東京
2025-01-01,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,中小企業,福岡
2025-01-01,EC事業部,アクセサリーセット,62,4980,308760,個人,—
2025-01-01,EC事業部,限定コラボモデル,7,49800,348600,個人,—
2025-01-01,EC事業部,リファービッシュ品,19,19800,376200,個人,—
2025-01-01,EC事業部,サブスクリプションBOX,44,3980,175120,個人,—
2025-01-01,EC事業部,カスタマイズケース,34,2980,101320,個人,—
2025-01-01,海外事業部,SmartWatch Pro (NA),8,42800,342400,海外代理店,北米
2025-01-01,海外事業部,Wireless Earbuds Elite (EU),7,27800,194600,海外直販,欧州
2025-01-01,海外事業部,Portable Speaker (APAC),6,19800,118800,海外代理店,アジア太平洋
2025-01-01,海外事業部,Mobile Battery Plus (NA),18,7980,143640,海外代理店,北米
2025-01-02,コンシューマー事業部,スマートウォッチ Pro,27,39800,1074600,個人,大阪
2025-01-02,コンシューマー事業部,ワイヤレスイヤホン Elite,37,24800,917600,個人,仙台
2025-01-02,コンシューマー事業部,ポータブルスピーカー SX,31,18500,573500,個人,札幌
2025-01-02,コンシューマー事業部,モバイルバッテリー Plus,71,6980,495580,量販店,名古屋
2025-01-02,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,中小企業,名古屋
2025-01-02,法人ソリューション事業部,サーバー保守契約,3,180000,540000,大企業,大阪
2025-01-02,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,官公庁,福岡
2025-01-02,EC事業部,アクセサリーセット,64,4980,318720,個人,—
2025-01-02,EC事業部,限定コラボモデル,7,49800,348600,個人,—
